6/12/14,15:30,Brazil,Croatia,Sao Paulo
6/13/14,11:30,Mexico,Cameroon,Natal
6/13/14,14:30,Spain,Netherlands,Salvador
6/13/14,17:30,Chile,Australia,Cuiaba
6/14/14,11:30,Colombia,Greece,Belo Horizonte
6/14/14,14:30,Uruguay,Costa Rica,Fortaleza
6/14/14,17:30,England,Italy,Manaus
6/14/14,20:30,Ivory Coast,Japan,Recife
6/15/14,11:30,Switzerland,Ecuador,Brasilia
6/15/14,14:30,France,Honduras,Porto Alegre
6/15/14,17:30,Argentina,Bosnia and Herzegovina,Rio De Janeiro
6/16/14,11:30,Germany,Portugal,Salvador
6/16/14,14:30,Iran,Nigeria,Curitiba
6/16/14,17:30,Ghana,USA,Natal
6/17/14,11:30,Belgium,Algeria,Belo Horizonte
6/17/14,14:30,Brazil,Mexico,Fortaleza
6/17/14,17:30,Russia,South Korea,Cuiaba
6/18/14,11:30,Australia,Netherlands,Porto Alegre
6/18/14,14:30,Spain,Chile,Rio De Janeiro
6/18/14,17:30,Cameroon,Croatia,Manaus
6/19/14,11:30,Colombia,Ivory Coast,Brasilia
6/19/14,14:30,Uruguay,England,Sao Paulo
6/19/14,17:30,Japan,Greece,Natal
6/20/14,11:30,Italy,Costa Rica,Recife
6/20/14,14:30,Switzerland,France,Salvador
6/20/14,17:30,Honduras,Ecuador,Curitiba
6/21/14,11:30,Argentina,Iran,Belo Horizonte
6/21/14,14:30,Germany,Ghana,Fortaleza
6/21/14,17:30,Nigeria,Bosnia and Herzegovina,Cuiaba
6/22/14,11:30,Belgium,Russia,Rio De Janeiro
6/22/14,14:30,South Korea,Algeria,Porto Alegre
6/22/14,17:30,USA,Portugal,Manaus
6/23/14,11:30,Netherlands,Chile,Sao Paulo
6/23/14,11:30,Australia,Spain,Curitiba
6/23/14,15:30,Croatia,Mexico,Brasilia
6/23/14,15:30,Cameroon,Brazil,Recife
6/24/14,11:30,Italy,Uruguay,Natal
6/24/14,11:30,Costa Rica,England,Belo Horizonte
6/24/14,15:30,Japan,Colombia,Cuiaba
6/24/14,15:30,Greece,Ivory Coast,Fortaleza
6/25/14,11:30,Nigeria,Argentina,Porto Alegre
6/25/14,11:30,Bosnia and Herzegovina,Iran,Salvador
6/25/14,15:30,Ecuador,France,Manaus
6/25/14,15:30,Honduras,Switzerland,Rio De Janeiro
6/26/14,11:30,USA,Germany,Brasilia
6/26/14,11:30,Portugal,Ghana,Recife
6/26/14,15:30,South Korea,Belgium,Sao Paulo
6/26/14,15:30,Algeria,Russia,Curitiba
