Date,Time,Team A,Team B,City
6/12/14,15:30,Brazil,Croatia,Sao Paulo
6/13/14,11:30,Mexico,Cameroon,Natal
6/13/14,14:30,Spain,Netherlands,Salvador
6/13/14,17:30,Chile,Australia,Cuiaba
6/14/14,11:30,Colombia,Greece,Belo Horizonte
6/14/14,14:30,Uruguay,Costa Rica,Fortaleza
6/14/14,17:30,England,Italy,Manaus
6/14/14,20:30,Ivory Coast,Japan,Recife
6/15/14,11:30,Switzerland,Ecuador,Brasilia
6/15/14,14:30,France,Honduras,Porto Alegre
6/15/14,17:30,Argentina,Bosnia-Herzegovina,Rio De Janeiro
6/16/14,11:30,Germany,Portugal,Salvador
6/16/14,14:30,Iran,Nigeria,Curitiba
6/16/14,17:30,Ghana,United States,Natal
6/17/14,11:30,Belgium,Algeria,Belo Horizonte
6/17/14,14:30,Brazil,Mexico,Fortaleza
6/17/14,17:30,Russia,South Korea,Cuiaba
6/18/14,11:30,Australia,Netherlands,Porto Alegre
6/18/14,14:30,Spain,Chile,Rio De Janeiro
6/18/14,17:30,Cameroon,Croatia,Manaus
6/19/14,11:30,Colombia,Ivory Coast,Brasilia
6/19/14,14:30,Uruguay,England,Sao Paulo
6/19/14,17:30,Japan,Greece,Natal
6/20/14,11:30,Italy,Costa Rica,Recife
6/20/14,14:30,Switzerland,France,Salvador
6/20/14,17:30,Honduras,Ecuador,Curitiba
6/21/14,11:30,Argentina,Iran,Belo Horizonte
6/21/14,14:30,Germany,Ghana,Fortaleza
6/21/14,17:30,Nigeria,Bosnia-Herzegovina,Cuiaba
6/22/14,11:30,Belgium,Russia,Rio De Janeiro
6/22/14,14:30,South Korea,Algeria,Porto Alegre
6/22/14,17:30,United States,Portugal,Manaus
6/23/14,11:30,Netherlands,Chile,Sao Paulo
6/23/14,11:30,Australia,Spain,Curitiba
6/23/14,15:30,Croatia,Mexico,Brasilia
6/23/14,15:30,Cameroon,Brazil,Recife
6/24/14,11:30,Italy,Uruguay,Natal
6/24/14,11:30,Costa Rica,England,Belo Horizonte
6/24/14,15:30,Japan,Colombia,Cuiaba
6/24/14,15:30,Greece,Ivory Coast,Fortaleza
6/25/14,11:30,Nigeria,Argentina,Porto Alegre
6/25/14,11:30,Bosnia-Herzegovina,Iran,Salvador
6/25/14,15:30,Ecuador,France,Manaus
6/25/14,15:30,Honduras,Switzerland,Rio De Janeiro
6/26/14,11:30,United States,Germany,Brasilia
6/26/14,11:30,Portugal,Ghana,Recife
6/26/14,15:30,South Korea,Belgium,Sao Paulo
6/26/14,15:30,Algeria,Russia,Curitiba
6/28/14,11:30,1A,2B,Belo Horizonte
6/28/14,15:30,1C,2D,Rio De Janeiro
6/29/14,11:30,1B,2A,Fortaleza
6/29/14,15:30,1D,2C,Recife
6/30/14,11:30,1E,2F,Brasilia
6/30/14,15:30,1G,2H,Porto Alegre
7/1/14,11:30,1F,2E,Sao Paulo
7/1/14,15:30,1H,2G,Salvador
7/4/14,11:30,Quarterfinals,Quarterfinals,Rio De Janeiro
7/4/14,15:30,Quarterfinals,Quarterfinals,Fortaleza
7/5/14,11:30,Quarterfinals,Quarterfinals,Brasilia
7/5/14,15:30,Quarterfinals,Quarterfinals,Salvador
7/8/14,15:30,Semifinals,Semifinals,Belo Horizonte
7/9/14,15:30,Semifinals,Semifinals,Sao Paulo
7/12/14,15:30,Third-place,Third-place,Brasilia
7/13/14,14:30,Final,Final,Rio De Janeiro
